FID,OBJECTID,NAME_E,NAME_F,ZONE_E,ZONE_F,URL_E,URL_F,REGULATION,REGLEMENT,KM2,Shape_Leng,Shape_Area,X,Y,LONG,LAT
0,1,Basin Head Marine Protected Area,Zone de protection marine de Basin Head,Zone 3,Zone 3,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2005-293/,http://laws.justice.gc.ca/fra/reglements/DORS-2005-293/,8.64,15192.62671,8642038.93,2446578.172,353688.7838,-62.10013598,46.37392508
1,2,Basin Head Marine Protected Area,Zone de protection marine de Basin Head,Zone 1,Zone 1,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2005-293/,http://laws.justice.gc.ca/fra/reglements/DORS-2005-293/,0.24,6509.813502,241572.6187,2446230.604,356107.5847,-62.08864544,46.39416363
2,3,Basin Head Marine Protected Area,Zone de protection marine de Basin Head,Zone 2,Zone 2,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/basin-head/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2005-293/,http://laws.justice.gc.ca/fra/reglements/DORS-2005-293/,0.35,5975.775381,354147.4789,2445144.825,354299.1593,-62.11228327,46.38495373
3,4,Endeavour Hydrothermal Vents Marine Protected Area,Zone de protection marine du champ hydrothermal Endeavour,N/A,S/O,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/endeavour/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/endeavour/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2003-87/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2003-87/,97.07,40858.3083,97067181.18,-2435548.428,552542.4877,-129.0832228,47.95832436
4,5,Gully Marine Protected Area,Zone de protection marine du Gully,Zone 1,Zone 1,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2004-112/,http://laws.justice.gc.ca/fra/reglements/DORS-2004-112/,475.39,145065.5033,475390746.1,2811479.998,239292.6973,-58.93212099,43.84043426
5,6,Gully Marine Protected Area,Zone de protection marine du Gully,Zone 2,Zone 2,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2004-112/,http://laws.justice.gc.ca/fra/reglements/DORS-2004-112/,1430.74,397665.4243,1430738340,2830567.589,234369.2353,-58.91524261,43.82100411
6,7,Gully Marine Protected Area,Zone de protection marine du Gully,Zone 3 east,Zone 3 est,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2004-112/,http://laws.justice.gc.ca/fra/reglements/DORS-2004-112/,181.98,66027.27703,181982443.9,2805585.636,255537.15,-58.886344,43.98865396
7,8,Gully Marine Protected Area,Zone de protection marine du Gully,Zone 3 west,Zone 3 ouest,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/gully/index-fra.html,http://laws.justice.gc.ca/eng/regulations/SOR-2004-112/,http://laws.justice.gc.ca/fra/reglements/DORS-2004-112/,275.1,94702.31421,275099920.6,2796963.985,236097.3269,-59.1018092,43.88516115
8,9,Musquash Estuary Marine Protected Area,Zone de protection marine de l'estuaire de la Musquash,Zone 1,Zone 1,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-354/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2006-354/,1.53,36736.54293,1534648.714,2215858.838,79482.28105,-66.29436129,45.18487468
9,10,Musquash Estuary Marine Protected Area,Zone de protection marine de l'estuaire de la Musquash,Zone 2A,Zone 2A,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-354/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2006-354/,4.67,16852.06504,4668069.643,2220970.658,80445.51694,-66.24648635,45.16042865
10,11,Musquash Estuary Marine Protected Area,Zone de protection marine de l'estuaire de la Musquash,Zone 2B,Zone 2B,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-354/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2006-354/,0.27,2301.190754,267520.1748,2221002.618,78046.18004,-66.25923246,45.14120083
11,12,Musquash Estuary Marine Protected Area,Zone de protection marine de l'estuaire de la Musquash,Zone 3,Zone 3,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/musquash/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2006-354/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2006-354/,0.95,6125.228002,951250.7207,2221844.554,78929.01746,-66.24493953,45.14497458
12,13,Tarium Niryutait Marine Protected Area,Zone de protection marine de Tarium Niryutait,Okeevik,Okeevik,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-190/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2010-190/,243.18,91849.41103,243175142.9,-1437373.087,2709642.272,-135.4881596,69.5346416
13,14,Tarium Niryutait Marine Protected Area,Zone de protection marine de Tarium Niryutait,Niaqunnaq,Niaqunnaq,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-190/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2010-190/,1041.82,171333.3097,1041817715,-1510268.256,2694536.625,-136.762808,69.01829724
14,15,Tarium Niryutait Marine Protected Area,Zone de protection marine de Tarium Niryutait,Kitigaryuit,Kitigaryuit,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/tarium-niryutait/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2010-190/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2010-190/,464.56,175524.54,464557678.1,-1389742.171,2661502.461,-133.735172,69.43058664
15,16,Anguniaqvia niqiqyuam Marine Protected Area,Zone de protection marine d'Anguniaqvia niqiqyuam,Zone 1,Zone 1,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/anguniaqvia-niqiqyuam/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/anguniaqvia-niqiqyuam/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2016-280/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2016-280/index.html,2319.96,618761.5377,2319957035,-1039930.462,2546682.978,-124.3710431,70.02779358
16,17,Anguniaqvia niqiqyuam Marine Protected Area,Zone de protection marine d'Anguniaqvia niqiqyuam,Zone 2,Zone 2,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/anguniaqvia-niqiqyuam/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/anguniaqvia-niqiqyuam/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2016-280/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2016-280/index.html,38.46,96332.78706,38462629.85,-1058002.99,2542617.97,-124.5623869,70.06676504
17,18,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Adaptive Management Zone,Zone de gestion adaptative,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,1382.85,204406.2881,1382852571,-2225333.361,971196.5568,-129.5720427,52.17551087
18,19,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Core Protection Zone,Zone de protection centrale,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,497.58,90141.52872,497576788.3,-2229636.625,951534.4754,-129.4755453,52.0013576
19,20,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Core Protection Zone,Zone de protection centrale,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,312.58,80542.05455,312581298.9,-2220426.153,994277.2614,-129.6862006,52.37719812
20,21,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Adaptive Management Zone,Zone de gestion adaptative,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,759.01,121092.2877,759014290.8,-2225093.583,1104791.631,-130.6174336,53.21126519
21,22,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Core Protection Zone,Zone de protection centrale,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,524.09,107353.1721,524092684.7,-2225371.194,1104924.96,-130.6220224,53.21091717
22,23,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Adaptive Management Zone,Zone de gestion adaptative,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,268.07,63649.94551,268070785.6,-2231259.999,864584.116,-128.8469216,51.31588381
23,24,Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Areas,Zone de protection marine des récifs d’éponges siliceuses du détroit d’Hécate et du bassin de la Reine Charlotte,Core Protection Zone,Zone de protection centrale,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/hecate-charlotte/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-15/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-15/index.html,168.12,49852.52187,168118698.1,-2230538.033,864611.6497,-128.838143,51.3194305
24,25,SGaan Kinghlas-Bowie Seamount Marine Protected Area,Zone de protection marine du mont sous-marin SGaan Kinghlas-Bowie,N/A,S/O,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/bowie-eng.html,http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/bowie-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-124/,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2008-124/,6102.63,336146.526,6102626703,-2496892.189,1326070.47,-135.9435404,53.47105264
25,26,St. Anns Bank Marine Protected Area,Zone de protection marine du banc de Sainte-Anne,Zone 2,Zone 2,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-fra.html,http://laws-lois.justice.gc.ca/eng/regulations/SOR-2017-106/index.html,http://laws-lois.justice.gc.ca/fra/reglements/DORS-2017-106/index.html,719.76,131562.5242,719758439.9,2640157.308,422039.2917,-59.52275454,46.01490622
